# Radius per segment (in mm): 40.0, 30.0, 50.0, 20.0, 40.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.44901e+01,1.43448e+01,1.52011e+01,1.56451e+01,1.94594e+01,1.99913e+01
2,1.44885e+01,1.43432e+01,1.51995e+01,1.56434e+01,1.94577e+01,1.99896e+01
3,1.44907e+01,1.43455e+01,1.52017e+01,1.56457e+01,1.94601e+01,1.99920e+01
4,1.44907e+01,1.43455e+01,1.52017e+01,1.56457e+01,1.94600e+01,1.99920e+01
5,1.44844e+01,1.43392e+01,1.51954e+01,1.56393e+01,1.94533e+01,1.99852e+01
6,1.44735e+01,1.43284e+01,1.51844e+01,1.56283e+01,1.94417e+01,1.99735e+01
7,1.44641e+01,1.43189e+01,1.51749e+01,1.56186e+01,1.94315e+01,1.99633e+01
8,1.44606e+01,1.43155e+01,1.51714e+01,1.56151e+01,1.94279e+01,1.99596e+01
9,1.44623e+01,1.43172e+01,1.51731e+01,1.56169e+01,1.94297e+01,1.99615e+01
10,1.44636e+01,1.43184e+01,1.51743e+01,1.56181e+01,1.94310e+01,1.99628e+01
11,1.44591e+01,1.43140e+01,1.51699e+01,1.56136e+01,1.94263e+01,1.99580e+01
12,1.44491e+01,1.43040e+01,1.51597e+01,1.56034e+01,1.94155e+01,1.99472e+01
13,1.44386e+01,1.42935e+01,1.51491e+01,1.55927e+01,1.94043e+01,1.99359e+01
14,1.44332e+01,1.42881e+01,1.51437e+01,1.55873e+01,1.93986e+01,1.99301e+01
15,1.44339e+01,1.42888e+01,1.51444e+01,1.55880e+01,1.93994e+01,1.99309e+01
16,1.44360e+01,1.42909e+01,1.51465e+01,1.55901e+01,1.94015e+01,1.99331e+01
17,1.44334e+01,1.42883e+01,1.51439e+01,1.55875e+01,1.93988e+01,1.99304e+01
18,1.44246e+01,1.42795e+01,1.51350e+01,1.55786e+01,1.93894e+01,1.99208e+01
19,1.44136e+01,1.42685e+01,1.51239e+01,1.55673e+01,1.93775e+01,1.99089e+01
20,1.44064e+01,1.42614e+01,1.51166e+01,1.55601e+01,1.93699e+01,1.99012e+01
21,1.44057e+01,1.42606e+01,1.51159e+01,1.55593e+01,1.93691e+01,1.99005e+01
22,1.44080e+01,1.42630e+01,1.51182e+01,1.55617e+01,1.93716e+01,1.99030e+01
23,1.44072e+01,1.42622e+01,1.51174e+01,1.55609e+01,1.93708e+01,1.99021e+01
24,1.44000e+01,1.42549e+01,1.51101e+01,1.55535e+01,1.93630e+01,1.98943e+01
25,1.43889e+01,1.42439e+01,1.50990e+01,1.55423e+01,1.93512e+01,1.98824e+01
26,1.43802e+01,1.42352e+01,1.50901e+01,1.55334e+01,1.93418e+01,1.98730e+01
27,1.43777e+01,1.42327e+01,1.50877e+01,1.55309e+01,1.93392e+01,1.98704e+01
28,1.43798e+01,1.42348e+01,1.50898e+01,1.55330e+01,1.93415e+01,1.98726e+01
29,1.43804e+01,1.42354e+01,1.50904e+01,1.55337e+01,1.93421e+01,1.98733e+01
30,1.43750e+01,1.42301e+01,1.50849e+01,1.55282e+01,1.93363e+01,1.98675e+01
31,1.43645e+01,1.42196e+01,1.50743e+01,1.55175e+01,1.93251e+01,1.98561e+01
32,1.43545e+01,1.42096e+01,1.50642e+01,1.55073e+01,1.93144e+01,1.98453e+01
33,1.43502e+01,1.42053e+01,1.50599e+01,1.55029e+01,1.93098e+01,1.98407e+01
34,1.43515e+01,1.42066e+01,1.50612e+01,1.55043e+01,1.93112e+01,1.98421e+01
35,1.43532e+01,1.42082e+01,1.50629e+01,1.55060e+01,1.93130e+01,1.98439e+01
36,1.43497e+01,1.42047e+01,1.50593e+01,1.55024e+01,1.93092e+01,1.98401e+01
37,1.43402e+01,1.41952e+01,1.50497e+01,1.54927e+01,1.92990e+01,1.98299e+01
38,1.43294e+01,1.41845e+01,1.50388e+01,1.54818e+01,1.92875e+01,1.98182e+01
39,1.43232e+01,1.41783e+01,1.50326e+01,1.54755e+01,1.92809e+01,1.98116e+01
40,1.43232e+01,1.41784e+01,1.50326e+01,1.54756e+01,1.92810e+01,1.98117e+01
41,1.43255e+01,1.41806e+01,1.50349e+01,1.54778e+01,1.92834e+01,1.98141e+01
42,1.43238e+01,1.41789e+01,1.50332e+01,1.54761e+01,1.92816e+01,1.98123e+01
43,1.43157e+01,1.41709e+01,1.50250e+01,1.54679e+01,1.92729e+01,1.98036e+01
44,1.43046e+01,1.41598e+01,1.50138e+01,1.54566e+01,1.92610e+01,1.97916e+01
45,1.42967e+01,1.41519e+01,1.50058e+01,1.54486e+01,1.92526e+01,1.97831e+01
46,1.42952e+01,1.41504e+01,1.50043e+01,1.54471e+01,1.92510e+01,1.97815e+01
47,1.42975e+01,1.41527e+01,1.50066e+01,1.54494e+01,1.92534e+01,1.97840e+01
48,1.42974e+01,1.41526e+01,1.50066e+01,1.54493e+01,1.92534e+01,1.97839e+01
49,1.42910e+01,1.41462e+01,1.50001e+01,1.54428e+01,1.92465e+01,1.97770e+01
50,1.42802e+01,1.41354e+01,1.49892e+01,1.54318e+01,1.92349e+01,1.97653e+01
51,1.42708e+01,1.41260e+01,1.49797e+01,1.54223e+01,1.92249e+01,1.97552e+01
52,1.42675e+01,1.41227e+01,1.49764e+01,1.54189e+01,1.92214e+01,1.97517e+01
53,1.42693e+01,1.41245e+01,1.49782e+01,1.54207e+01,1.92233e+01,1.97536e+01
54,1.42705e+01,1.41257e+01,1.49794e+01,1.54220e+01,1.92246e+01,1.97549e+01
55,1.42660e+01,1.41212e+01,1.49748e+01,1.54174e+01,1.92198e+01,1.97501e+01
56,1.42559e+01,1.41112e+01,1.49646e+01,1.54071e+01,1.92089e+01,1.97392e+01
57,1.42455e+01,1.41008e+01,1.49541e+01,1.53965e+01,1.91978e+01,1.97279e+01
58,1.42403e+01,1.40956e+01,1.49489e+01,1.53913e+01,1.91923e+01,1.97224e+01
59,1.42411e+01,1.40964e+01,1.49497e+01,1.53921e+01,1.91931e+01,1.97232e+01
60,1.42431e+01,1.40984e+01,1.49517e+01,1.53941e+01,1.91953e+01,1.97254e+01
61,1.42405e+01,1.40958e+01,1.49491e+01,1.53915e+01,1.91925e+01,1.97226e+01
62,1.42316e+01,1.40869e+01,1.49401e+01,1.53825e+01,1.91830e+01,1.97130e+01
63,1.42206e+01,1.40760e+01,1.49290e+01,1.53713e+01,1.91712e+01,1.97012e+01
64,1.42136e+01,1.40690e+01,1.49219e+01,1.53642e+01,1.91637e+01,1.96936e+01
65,1.42130e+01,1.40683e+01,1.49213e+01,1.53635e+01,1.91631e+01,1.96930e+01
66,1.42153e+01,1.40707e+01,1.49237e+01,1.53659e+01,1.91656e+01,1.96955e+01
67,1.42145e+01,1.40698e+01,1.49228e+01,1.53650e+01,1.91647e+01,1.96946e+01
68,1.42072e+01,1.40625e+01,1.49154e+01,1.53576e+01,1.91568e+01,1.96867e+01
69,1.41961e+01,1.40515e+01,1.49043e+01,1.53464e+01,1.91450e+01,1.96748e+01
70,1.41875e+01,1.40429e+01,1.48956e+01,1.53376e+01,1.91358e+01,1.96655e+01
71,1.41852e+01,1.40406e+01,1.48932e+01,1.53353e+01,1.91334e+01,1.96631e+01
72,1.41873e+01,1.40427e+01,1.48954e+01,1.53375e+01,1.91357e+01,1.96654e+01
73,1.41879e+01,1.40433e+01,1.48960e+01,1.53381e+01,1.91363e+01,1.96660e+01
74,1.41824e+01,1.40378e+01,1.48904e+01,1.53325e+01,1.91304e+01,1.96601e+01
75,1.41719e+01,1.40273e+01,1.48798e+01,1.53218e+01,1.91191e+01,1.96487e+01
76,1.41620e+01,1.40174e+01,1.48698e+01,1.53117e+01,1.91085e+01,1.96380e+01
77,1.41578e+01,1.40133e+01,1.48656e+01,1.53075e+01,1.91041e+01,1.96336e+01
78,1.41592e+01,1.40147e+01,1.48670e+01,1.53089e+01,1.91056e+01,1.96351e+01
79,1.41609e+01,1.40163e+01,1.48687e+01,1.53106e+01,1.91074e+01,1.96369e+01
80,1.41573e+01,1.40127e+01,1.48650e+01,1.53069e+01,1.91035e+01,1.96330e+01
81,1.41477e+01,1.40032e+01,1.48554e+01,1.52972e+01,1.90933e+01,1.96227e+01
82,1.41370e+01,1.39925e+01,1.48445e+01,1.52863e+01,1.90818e+01,1.96111e+01
83,1.41309e+01,1.39864e+01,1.48384e+01,1.52801e+01,1.90753e+01,1.96046e+01
84,1.41311e+01,1.39866e+01,1.48386e+01,1.52804e+01,1.90756e+01,1.96049e+01
85,1.41334e+01,1.39889e+01,1.48409e+01,1.52826e+01,1.90780e+01,1.96073e+01
86,1.41316e+01,1.39871e+01,1.48391e+01,1.52809e+01,1.90761e+01,1.96054e+01
87,1.41235e+01,1.39790e+01,1.48309e+01,1.52726e+01,1.90673e+01,1.95966e+01
88,1.41124e+01,1.39679e+01,1.48197e+01,1.52613e+01,1.90555e+01,1.95846e+01
89,1.41046e+01,1.39602e+01,1.48118e+01,1.52534e+01,1.90472e+01,1.95763e+01
90,1.41032e+01,1.39588e+01,1.48105e+01,1.52520e+01,1.90457e+01,1.95748e+01
91,1.41056e+01,1.39611e+01,1.48128e+01,1.52544e+01,1.90482e+01,1.95773e+01
92,1.41054e+01,1.39610e+01,1.48127e+01,1.52543e+01,1.90481e+01,1.95772e+01
93,1.40990e+01,1.39546e+01,1.48062e+01,1.52477e+01,1.90412e+01,1.95702e+01
94,1.40881e+01,1.39437e+01,1.47952e+01,1.52367e+01,1.90295e+01,1.95585e+01
95,1.40789e+01,1.39345e+01,1.47859e+01,1.52273e+01,1.90197e+01,1.95486e+01
96,1.40757e+01,1.39313e+01,1.47827e+01,1.52241e+01,1.90163e+01,1.95452e+01
97,1.40776e+01,1.39332e+01,1.47845e+01,1.52259e+01,1.90183e+01,1.95472e+01
98,1.40787e+01,1.39343e+01,1.47857e+01,1.52271e+01,1.90195e+01,1.95485e+01
99,1.40741e+01,1.39298e+01,1.47811e+01,1.52225e+01,1.90146e+01,1.95435e+01
100,1.40640e+01,1.39197e+01,1.47709e+01,1.52122e+01,1.90038e+01,1.95326e+01
101,1.40537e+01,1.39093e+01,1.47604e+01,1.52017e+01,1.89927e+01,1.95214e+01
102,1.40486e+01,1.39043e+01,1.47553e+01,1.51965e+01,1.89873e+01,1.95160e+01
103,1.40495e+01,1.39052e+01,1.47562e+01,1.51975e+01,1.89883e+01,1.95170e+01
104,1.40515e+01,1.39072e+01,1.47583e+01,1.51995e+01,1.89905e+01,1.95192e+01
105,1.40488e+01,1.39045e+01,1.47555e+01,1.51968e+01,1.89876e+01,1.95163e+01
106,1.40399e+01,1.38956e+01,1.47465e+01,1.51877e+01,1.89780e+01,1.95066e+01
107,1.40290e+01,1.38847e+01,1.47355e+01,1.51766e+01,1.89663e+01,1.94948e+01
108,1.40221e+01,1.38778e+01,1.47285e+01,1.51696e+01,1.89590e+01,1.94874e+01
109,1.40216e+01,1.38773e+01,1.47280e+01,1.51691e+01,1.89585e+01,1.94870e+01
110,1.40240e+01,1.38797e+01,1.47304e+01,1.51715e+01,1.89610e+01,1.94895e+01
111,1.40230e+01,1.38788e+01,1.47295e+01,1.51705e+01,1.89600e+01,1.94885e+01
112,1.40157e+01,1.38714e+01,1.47220e+01,1.51630e+01,1.89521e+01,1.94805e+01
113,1.40046e+01,1.38604e+01,1.47109e+01,1.51518e+01,1.89403e+01,1.94686e+01
114,1.39961e+01,1.38519e+01,1.47023e+01,1.51432e+01,1.89312e+01,1.94595e+01
