# Radius per segment (in mm): 40.0, 50.0, 60.0, 20.0, 30.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.35453e+01,1.34020e+01,1.38439e+01,1.42274e+01,1.88452e+01,1.99746e+01
2,1.35220e+01,1.33787e+01,1.38204e+01,1.42038e+01,1.88202e+01,1.99491e+01
3,1.34987e+01,1.33555e+01,1.37970e+01,1.41803e+01,1.87951e+01,1.99237e+01
4,1.34754e+01,1.33322e+01,1.37736e+01,1.41568e+01,1.87701e+01,1.98983e+01
5,1.34521e+01,1.33090e+01,1.37502e+01,1.41333e+01,1.87451e+01,1.98729e+01
6,1.34289e+01,1.32858e+01,1.37269e+01,1.41098e+01,1.87201e+01,1.98476e+01
7,1.34056e+01,1.32626e+01,1.37036e+01,1.40864e+01,1.86952e+01,1.98223e+01
8,1.33825e+01,1.32395e+01,1.36803e+01,1.40630e+01,1.86703e+01,1.97970e+01
9,1.33593e+01,1.32164e+01,1.36571e+01,1.40396e+01,1.86454e+01,1.97718e+01
10,1.33362e+01,1.31933e+01,1.36338e+01,1.40163e+01,1.86206e+01,1.97466e+01
11,1.33131e+01,1.31703e+01,1.36107e+01,1.39930e+01,1.85958e+01,1.97215e+01
12,1.32901e+01,1.31473e+01,1.35876e+01,1.39698e+01,1.85711e+01,1.96964e+01
13,1.32672e+01,1.31244e+01,1.35645e+01,1.39466e+01,1.85465e+01,1.96714e+01
14,1.32443e+01,1.31016e+01,1.35415e+01,1.39235e+01,1.85219e+01,1.96464e+01
15,1.32214e+01,1.30788e+01,1.35186e+01,1.39004e+01,1.84973e+01,1.96215e+01
16,1.31986e+01,1.30560e+01,1.34957e+01,1.38774e+01,1.84729e+01,1.95967e+01
17,1.31759e+01,1.30333e+01,1.34729e+01,1.38545e+01,1.84485e+01,1.95719e+01
18,1.31533e+01,1.30107e+01,1.34502e+01,1.38316e+01,1.84241e+01,1.95473e+01
19,1.31307e+01,1.29882e+01,1.34275e+01,1.38088e+01,1.83999e+01,1.95227e+01
20,1.31082e+01,1.29657e+01,1.34049e+01,1.37861e+01,1.83757e+01,1.94981e+01
21,1.30858e+01,1.29434e+01,1.33824e+01,1.37635e+01,1.83517e+01,1.94737e+01
22,1.30634e+01,1.29211e+01,1.33599e+01,1.37409e+01,1.83277e+01,1.94494e+01
23,1.30412e+01,1.28989e+01,1.33376e+01,1.37184e+01,1.83038e+01,1.94251e+01
24,1.30190e+01,1.28767e+01,1.33153e+01,1.36961e+01,1.82800e+01,1.94010e+01
25,1.29969e+01,1.28547e+01,1.32932e+01,1.36738e+01,1.82563e+01,1.93769e+01
26,1.29750e+01,1.28328e+01,1.32711e+01,1.36516e+01,1.82327e+01,1.93530e+01
27,1.29531e+01,1.28110e+01,1.32491e+01,1.36295e+01,1.82092e+01,1.93291e+01
28,1.29313e+01,1.27892e+01,1.32273e+01,1.36075e+01,1.81858e+01,1.93054e+01
29,1.29097e+01,1.27676e+01,1.32055e+01,1.35857e+01,1.81625e+01,1.92818e+01
30,1.28881e+01,1.27461e+01,1.31839e+01,1.35639e+01,1.81394e+01,1.92583e+01
31,1.28666e+01,1.27247e+01,1.31623e+01,1.35423e+01,1.81164e+01,1.92350e+01
32,1.28453e+01,1.27034e+01,1.31409e+01,1.35207e+01,1.80935e+01,1.92117e+01
33,1.28241e+01,1.26822e+01,1.31196e+01,1.34993e+01,1.80707e+01,1.91886e+01
34,1.28030e+01,1.26612e+01,1.30984e+01,1.34780e+01,1.80480e+01,1.91656e+01
35,1.27820e+01,1.26402e+01,1.30774e+01,1.34568e+01,1.80255e+01,1.91428e+01
36,1.27612e+01,1.26194e+01,1.30564e+01,1.34358e+01,1.80031e+01,1.91201e+01
37,1.27405e+01,1.25988e+01,1.30356e+01,1.34149e+01,1.79809e+01,1.90975e+01
38,1.27199e+01,1.25782e+01,1.30150e+01,1.33941e+01,1.79588e+01,1.90751e+01
39,1.26994e+01,1.25578e+01,1.29944e+01,1.33735e+01,1.79369e+01,1.90528e+01
40,1.26791e+01,1.25375e+01,1.29741e+01,1.33530e+01,1.79151e+01,1.90307e+01
41,1.26590e+01,1.25174e+01,1.29538e+01,1.33326e+01,1.78934e+01,1.90087e+01
42,1.26389e+01,1.24974e+01,1.29337e+01,1.33124e+01,1.78719e+01,1.89869e+01
43,1.26191e+01,1.24776e+01,1.29137e+01,1.32923e+01,1.78506e+01,1.89653e+01
44,1.25993e+01,1.24579e+01,1.28939e+01,1.32724e+01,1.78294e+01,1.89438e+01
45,1.25797e+01,1.24383e+01,1.28743e+01,1.32527e+01,1.78084e+01,1.89225e+01
46,1.25603e+01,1.24190e+01,1.28547e+01,1.32330e+01,1.77875e+01,1.89013e+01
47,1.25411e+01,1.23997e+01,1.28354e+01,1.32136e+01,1.77668e+01,1.88803e+01
48,1.25219e+01,1.23807e+01,1.28162e+01,1.31943e+01,1.77463e+01,1.88595e+01
49,1.25030e+01,1.23617e+01,1.27972e+01,1.31752e+01,1.77260e+01,1.88389e+01
50,1.24842e+01,1.23430e+01,1.27783e+01,1.31562e+01,1.77058e+01,1.88184e+01
51,1.24656e+01,1.23244e+01,1.27596e+01,1.31374e+01,1.76858e+01,1.87981e+01
52,1.24471e+01,1.23060e+01,1.27411e+01,1.31188e+01,1.76660e+01,1.87780e+01
53,1.24288e+01,1.22877e+01,1.27227e+01,1.31003e+01,1.76464e+01,1.87581e+01
54,1.24107e+01,1.22697e+01,1.27045e+01,1.30820e+01,1.76270e+01,1.87384e+01
55,1.23928e+01,1.22518e+01,1.26865e+01,1.30639e+01,1.76077e+01,1.87189e+01
56,1.23750e+01,1.22340e+01,1.26687e+01,1.30460e+01,1.75886e+01,1.86995e+01
57,1.23574e+01,1.22165e+01,1.26510e+01,1.30283e+01,1.75698e+01,1.86804e+01
58,1.23400e+01,1.21991e+01,1.26336e+01,1.30107e+01,1.75511e+01,1.86614e+01
59,1.23228e+01,1.21819e+01,1.26163e+01,1.29933e+01,1.75326e+01,1.86427e+01
60,1.23058e+01,1.21649e+01,1.25992e+01,1.29761e+01,1.75143e+01,1.86241e+01
61,1.22889e+01,1.21481e+01,1.25822e+01,1.29591e+01,1.74962e+01,1.86058e+01
62,1.22723e+01,1.21315e+01,1.25655e+01,1.29423e+01,1.74783e+01,1.85876e+01
63,1.22558e+01,1.21150e+01,1.25490e+01,1.29256e+01,1.74607e+01,1.85697e+01
64,1.22395e+01,1.20988e+01,1.25326e+01,1.29092e+01,1.74432e+01,1.85520e+01
65,1.22234e+01,1.20827e+01,1.25164e+01,1.28929e+01,1.74259e+01,1.85344e+01
66,1.22075e+01,1.20668e+01,1.25005e+01,1.28769e+01,1.74088e+01,1.85171e+01
67,1.21918e+01,1.20511e+01,1.24847e+01,1.28610e+01,1.73920e+01,1.85000e+01
68,1.21763e+01,1.20357e+01,1.24691e+01,1.28454e+01,1.73753e+01,1.84831e+01
69,1.21610e+01,1.20204e+01,1.24537e+01,1.28299e+01,1.73589e+01,1.84665e+01
70,1.21458e+01,1.20053e+01,1.24386e+01,1.28147e+01,1.73427e+01,1.84500e+01
71,1.21309e+01,1.19904e+01,1.24236e+01,1.27996e+01,1.73267e+01,1.84338e+01
72,1.21162e+01,1.19757e+01,1.24088e+01,1.27848e+01,1.73109e+01,1.84177e+01
73,1.21017e+01,1.19612e+01,1.23942e+01,1.27701e+01,1.72953e+01,1.84019e+01
74,1.20874e+01,1.19470e+01,1.23799e+01,1.27557e+01,1.72800e+01,1.83864e+01
75,1.20733e+01,1.19329e+01,1.23657e+01,1.27414e+01,1.72648e+01,1.83710e+01
76,1.20594e+01,1.19190e+01,1.23518e+01,1.27274e+01,1.72499e+01,1.83559e+01
77,1.20457e+01,1.19053e+01,1.23380e+01,1.27136e+01,1.72352e+01,1.83410e+01
78,1.20322e+01,1.18919e+01,1.23245e+01,1.27000e+01,1.72207e+01,1.83263e+01
79,1.20189e+01,1.18786e+01,1.23111e+01,1.26865e+01,1.72065e+01,1.83118e+01
80,1.20058e+01,1.18656e+01,1.22980e+01,1.26733e+01,1.71925e+01,1.82976e+01
81,1.19930e+01,1.18527e+01,1.22851e+01,1.26604e+01,1.71786e+01,1.82836e+01
82,1.19803e+01,1.18401e+01,1.22724e+01,1.26476e+01,1.71651e+01,1.82698e+01
83,1.19679e+01,1.18277e+01,1.22599e+01,1.26350e+01,1.71517e+01,1.82562e+01
84,1.19556e+01,1.18154e+01,1.22476e+01,1.26227e+01,1.71386e+01,1.82429e+01
85,1.19436e+01,1.18034e+01,1.22355e+01,1.26105e+01,1.71257e+01,1.82298e+01
86,1.19318e+01,1.17917e+01,1.22237e+01,1.25987e+01,1.71130e+01,1.82169e+01
87,1.19202e+01,1.17801e+01,1.22120e+01,1.25869e+01,1.71005e+01,1.82043e+01
88,1.19088e+01,1.17688e+01,1.22006e+01,1.25754e+01,1.70883e+01,1.81919e+01
89,1.18976e+01,1.17576e+01,1.21893e+01,1.25641e+01,1.70763e+01,1.81797e+01
90,1.18867e+01,1.17466e+01,1.21783e+01,1.25530e+01,1.70645e+01,1.81678e+01
91,1.18759e+01,1.17359e+01,1.21675e+01,1.25422e+01,1.70530e+01,1.81560e+01
92,1.18653e+01,1.17253e+01,1.21569e+01,1.25315e+01,1.70416e+01,1.81446e+01
93,1.18550e+01,1.17150e+01,1.21465e+01,1.25211e+01,1.70305e+01,1.81333e+01
94,1.18448e+01,1.17049e+01,1.21363e+01,1.25108e+01,1.70196e+01,1.81223e+01
95,1.18349e+01,1.16950e+01,1.21263e+01,1.25008e+01,1.70090e+01,1.81114e+01
96,1.18252e+01,1.16853e+01,1.21166e+01,1.24910e+01,1.69986e+01,1.81009e+01
97,1.18157e+01,1.16758e+01,1.21070e+01,1.24814e+01,1.69884e+01,1.80905e+01
98,1.18064e+01,1.16665e+01,1.20977e+01,1.24720e+01,1.69784e+01,1.80804e+01
99,1.17973e+01,1.16574e+01,1.20885e+01,1.24628e+01,1.69686e+01,1.80705e+01
100,1.17884e+01,1.16485e+01,1.20796e+01,1.24538e+01,1.69591e+01,1.80608e+01
101,1.17797e+01,1.16398e+01,1.20709e+01,1.24451e+01,1.69497e+01,1.80513e+01
102,1.17712e+01,1.16314e+01,1.20624e+01,1.24365e+01,1.69407e+01,1.80421e+01
