# Radius per segment (in mm): 15, 25, 55, 75, 85
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.87348e+01,1.83257e+01,1.92769e+01,1.95532e+01,1.98460e+01,1.99973e+01
2,1.87337e+01,1.83245e+01,1.92758e+01,1.95521e+01,1.98449e+01,1.99962e+01
3,1.87335e+01,1.83243e+01,1.92755e+01,1.95518e+01,1.98446e+01,1.99960e+01
4,1.87328e+01,1.83236e+01,1.92748e+01,1.95511e+01,1.98439e+01,1.99952e+01
5,1.87305e+01,1.83214e+01,1.92725e+01,1.95488e+01,1.98416e+01,1.99929e+01
6,1.87273e+01,1.83181e+01,1.92692e+01,1.95455e+01,1.98383e+01,1.99896e+01
7,1.87243e+01,1.83152e+01,1.92662e+01,1.95425e+01,1.98353e+01,1.99866e+01
8,1.87227e+01,1.83136e+01,1.92647e+01,1.95409e+01,1.98337e+01,1.99850e+01
9,1.87224e+01,1.83133e+01,1.92643e+01,1.95406e+01,1.98334e+01,1.99847e+01
10,1.87219e+01,1.83128e+01,1.92639e+01,1.95401e+01,1.98329e+01,1.99842e+01
11,1.87202e+01,1.83111e+01,1.92621e+01,1.95383e+01,1.98311e+01,1.99824e+01
12,1.87171e+01,1.83080e+01,1.92590e+01,1.95352e+01,1.98279e+01,1.99792e+01
13,1.87139e+01,1.83048e+01,1.92557e+01,1.95320e+01,1.98247e+01,1.99760e+01
14,1.87119e+01,1.83028e+01,1.92537e+01,1.95299e+01,1.98227e+01,1.99739e+01
15,1.87113e+01,1.83022e+01,1.92531e+01,1.95294e+01,1.98221e+01,1.99734e+01
16,1.87110e+01,1.83020e+01,1.92529e+01,1.95291e+01,1.98218e+01,1.99731e+01
17,1.87097e+01,1.83006e+01,1.92515e+01,1.95277e+01,1.98204e+01,1.99717e+01
18,1.87069e+01,1.82978e+01,1.92487e+01,1.95249e+01,1.98176e+01,1.99689e+01
19,1.87035e+01,1.82945e+01,1.92453e+01,1.95215e+01,1.98142e+01,1.99655e+01
20,1.87011e+01,1.82921e+01,1.92429e+01,1.95191e+01,1.98117e+01,1.99630e+01
21,1.87002e+01,1.82912e+01,1.92420e+01,1.95182e+01,1.98108e+01,1.99621e+01
22,1.87000e+01,1.82910e+01,1.92418e+01,1.95180e+01,1.98106e+01,1.99619e+01
23,1.86991e+01,1.82901e+01,1.92408e+01,1.95170e+01,1.98097e+01,1.99609e+01
24,1.86966e+01,1.82876e+01,1.92384e+01,1.95145e+01,1.98072e+01,1.99584e+01
25,1.86933e+01,1.82843e+01,1.92350e+01,1.95112e+01,1.98038e+01,1.99550e+01
26,1.86905e+01,1.82815e+01,1.92322e+01,1.95083e+01,1.98010e+01,1.99522e+01
27,1.86892e+01,1.82802e+01,1.92309e+01,1.95070e+01,1.97996e+01,1.99509e+01
28,1.86889e+01,1.82800e+01,1.92306e+01,1.95067e+01,1.97994e+01,1.99506e+01
29,1.86883e+01,1.82794e+01,1.92300e+01,1.95061e+01,1.97988e+01,1.99500e+01
30,1.86863e+01,1.82774e+01,1.92280e+01,1.95041e+01,1.97967e+01,1.99479e+01
31,1.86831e+01,1.82742e+01,1.92247e+01,1.95009e+01,1.97934e+01,1.99447e+01
32,1.86800e+01,1.82711e+01,1.92216e+01,1.94977e+01,1.97903e+01,1.99415e+01
33,1.86782e+01,1.82694e+01,1.92199e+01,1.94960e+01,1.97885e+01,1.99397e+01
34,1.86778e+01,1.82689e+01,1.92194e+01,1.94955e+01,1.97881e+01,1.99393e+01
35,1.86775e+01,1.82686e+01,1.92191e+01,1.94952e+01,1.97877e+01,1.99389e+01
36,1.86759e+01,1.82670e+01,1.92175e+01,1.94936e+01,1.97861e+01,1.99373e+01
37,1.86729e+01,1.82641e+01,1.92145e+01,1.94906e+01,1.97831e+01,1.99343e+01
38,1.86696e+01,1.82608e+01,1.92112e+01,1.94872e+01,1.97798e+01,1.99310e+01
39,1.86674e+01,1.82586e+01,1.92090e+01,1.94850e+01,1.97776e+01,1.99287e+01
40,1.86667e+01,1.82579e+01,1.92083e+01,1.94843e+01,1.97768e+01,1.99280e+01
41,1.86665e+01,1.82577e+01,1.92080e+01,1.94841e+01,1.97766e+01,1.99278e+01
42,1.86654e+01,1.82566e+01,1.92069e+01,1.94829e+01,1.97754e+01,1.99266e+01
43,1.86627e+01,1.82539e+01,1.92042e+01,1.94802e+01,1.97728e+01,1.99239e+01
44,1.86594e+01,1.82506e+01,1.92008e+01,1.94769e+01,1.97694e+01,1.99205e+01
45,1.86568e+01,1.82480e+01,1.91982e+01,1.94742e+01,1.97667e+01,1.99179e+01
46,1.86557e+01,1.82469e+01,1.91971e+01,1.94731e+01,1.97656e+01,1.99168e+01
47,1.86555e+01,1.82467e+01,1.91969e+01,1.94729e+01,1.97654e+01,1.99166e+01
48,1.86547e+01,1.82460e+01,1.91961e+01,1.94721e+01,1.97646e+01,1.99158e+01
49,1.86524e+01,1.82437e+01,1.91939e+01,1.94699e+01,1.97623e+01,1.99135e+01
50,1.86492e+01,1.82404e+01,1.91906e+01,1.94665e+01,1.97590e+01,1.99101e+01
51,1.86462e+01,1.82375e+01,1.91876e+01,1.94636e+01,1.97560e+01,1.99072e+01
52,1.86447e+01,1.82360e+01,1.91861e+01,1.94620e+01,1.97545e+01,1.99056e+01
53,1.86444e+01,1.82357e+01,1.91857e+01,1.94617e+01,1.97541e+01,1.99053e+01
54,1.86439e+01,1.82352e+01,1.91853e+01,1.94612e+01,1.97537e+01,1.99048e+01
55,1.86421e+01,1.82334e+01,1.91835e+01,1.94594e+01,1.97518e+01,1.99030e+01
56,1.86390e+01,1.82303e+01,1.91803e+01,1.94563e+01,1.97487e+01,1.98998e+01
57,1.86358e+01,1.82272e+01,1.91771e+01,1.94530e+01,1.97454e+01,1.98966e+01
58,1.86338e+01,1.82252e+01,1.91751e+01,1.94510e+01,1.97434e+01,1.98946e+01
59,1.86333e+01,1.82247e+01,1.91746e+01,1.94505e+01,1.97429e+01,1.98940e+01
60,1.86330e+01,1.82244e+01,1.91743e+01,1.94502e+01,1.97426e+01,1.98937e+01
61,1.86316e+01,1.82230e+01,1.91729e+01,1.94488e+01,1.97412e+01,1.98923e+01
62,1.86288e+01,1.82202e+01,1.91701e+01,1.94460e+01,1.97383e+01,1.98895e+01
63,1.86255e+01,1.82169e+01,1.91667e+01,1.94426e+01,1.97350e+01,1.98861e+01
64,1.86231e+01,1.82145e+01,1.91643e+01,1.94402e+01,1.97325e+01,1.98836e+01
65,1.86222e+01,1.82136e+01,1.91634e+01,1.94393e+01,1.97316e+01,1.98827e+01
66,1.86220e+01,1.82135e+01,1.91632e+01,1.94391e+01,1.97314e+01,1.98825e+01
67,1.86211e+01,1.82125e+01,1.91623e+01,1.94381e+01,1.97305e+01,1.98816e+01
68,1.86186e+01,1.82101e+01,1.91598e+01,1.94356e+01,1.97280e+01,1.98791e+01
69,1.86153e+01,1.82067e+01,1.91564e+01,1.94323e+01,1.97246e+01,1.98757e+01
70,1.86125e+01,1.82040e+01,1.91536e+01,1.94295e+01,1.97218e+01,1.98728e+01
71,1.86112e+01,1.82027e+01,1.91523e+01,1.94282e+01,1.97205e+01,1.98715e+01
72,1.86110e+01,1.82025e+01,1.91521e+01,1.94279e+01,1.97202e+01,1.98713e+01
73,1.86103e+01,1.82019e+01,1.91515e+01,1.94273e+01,1.97196e+01,1.98707e+01
74,1.86083e+01,1.81998e+01,1.91494e+01,1.94252e+01,1.97175e+01,1.98686e+01
75,1.86051e+01,1.81966e+01,1.91462e+01,1.94220e+01,1.97142e+01,1.98653e+01
76,1.86020e+01,1.81936e+01,1.91431e+01,1.94189e+01,1.97111e+01,1.98622e+01
77,1.86003e+01,1.81919e+01,1.91413e+01,1.94171e+01,1.97094e+01,1.98604e+01
78,1.85999e+01,1.81914e+01,1.91409e+01,1.94167e+01,1.97090e+01,1.98600e+01
79,1.85995e+01,1.81911e+01,1.91406e+01,1.94163e+01,1.97086e+01,1.98597e+01
80,1.85979e+01,1.81895e+01,1.91389e+01,1.94147e+01,1.97070e+01,1.98580e+01
81,1.85949e+01,1.81865e+01,1.91359e+01,1.94117e+01,1.97039e+01,1.98550e+01
82,1.85917e+01,1.81833e+01,1.91326e+01,1.94084e+01,1.97006e+01,1.98517e+01
83,1.85895e+01,1.81811e+01,1.91305e+01,1.94062e+01,1.96984e+01,1.98495e+01
84,1.85888e+01,1.81804e+01,1.91298e+01,1.94055e+01,1.96977e+01,1.98487e+01
85,1.85886e+01,1.81802e+01,1.91295e+01,1.94053e+01,1.96975e+01,1.98485e+01
86,1.85874e+01,1.81790e+01,1.91284e+01,1.94041e+01,1.96963e+01,1.98473e+01
87,1.85847e+01,1.81764e+01,1.91257e+01,1.94014e+01,1.96936e+01,1.98446e+01
88,1.85814e+01,1.81731e+01,1.91223e+01,1.93980e+01,1.96902e+01,1.98412e+01
89,1.85788e+01,1.81705e+01,1.91197e+01,1.93954e+01,1.96876e+01,1.98386e+01
90,1.85778e+01,1.81695e+01,1.91186e+01,1.93943e+01,1.96865e+01,1.98375e+01
91,1.85776e+01,1.81692e+01,1.91184e+01,1.93941e+01,1.96863e+01,1.98373e+01
92,1.85768e+01,1.81685e+01,1.91176e+01,1.93934e+01,1.96855e+01,1.98365e+01
93,1.85745e+01,1.81662e+01,1.91154e+01,1.93911e+01,1.96832e+01,1.98342e+01
94,1.85712e+01,1.81629e+01,1.91120e+01,1.93877e+01,1.96799e+01,1.98309e+01
95,1.85683e+01,1.81600e+01,1.91091e+01,1.93848e+01,1.96769e+01,1.98279e+01
96,1.85668e+01,1.81586e+01,1.91076e+01,1.93833e+01,1.96754e+01,1.98264e+01
97,1.85665e+01,1.81582e+01,1.91073e+01,1.93830e+01,1.96751e+01,1.98261e+01
98,1.85660e+01,1.81578e+01,1.91068e+01,1.93825e+01,1.96746e+01,1.98256e+01
99,1.85642e+01,1.81560e+01,1.91050e+01,1.93806e+01,1.96727e+01,1.98237e+01
100,1.85611e+01,1.81528e+01,1.91018e+01,1.93775e+01,1.96696e+01,1.98205e+01
101,1.85579e+01,1.81497e+01,1.90986e+01,1.93743e+01,1.96663e+01,1.98173e+01
102,1.85560e+01,1.81478e+01,1.90967e+01,1.93723e+01,1.96644e+01,1.98153e+01
103,1.85554e+01,1.81472e+01,1.90961e+01,1.93718e+01,1.96638e+01,1.98148e+01
104,1.85551e+01,1.81470e+01,1.90959e+01,1.93715e+01,1.96636e+01,1.98145e+01
105,1.85538e+01,1.81456e+01,1.90945e+01,1.93701e+01,1.96621e+01,1.98131e+01
106,1.85509e+01,1.81427e+01,1.90916e+01,1.93672e+01,1.96593e+01,1.98102e+01
107,1.85476e+01,1.81394e+01,1.90882e+01,1.93638e+01,1.96559e+01,1.98068e+01
108,1.85452e+01,1.81371e+01,1.90859e+01,1.93615e+01,1.96535e+01,1.98044e+01
109,1.85444e+01,1.81362e+01,1.90850e+01,1.93606e+01,1.96526e+01,1.98036e+01
110,1.85442e+01,1.81361e+01,1.90848e+01,1.93604e+01,1.96524e+01,1.98034e+01
111,1.85432e+01,1.81351e+01,1.90838e+01,1.93594e+01,1.96514e+01,1.98024e+01
112,1.85407e+01,1.81326e+01,1.90813e+01,1.93569e+01,1.96489e+01,1.97998e+01
113,1.85374e+01,1.81293e+01,1.90780e+01,1.93535e+01,1.96455e+01,1.97964e+01
114,1.85346e+01,1.81266e+01,1.90752e+01,1.93507e+01,1.96427e+01,1.97937e+01
115,1.85334e+01,1.81253e+01,1.90739e+01,1.93495e+01,1.96415e+01,1.97924e+01
116,1.85332e+01,1.81251e+01,1.90737e+01,1.93492e+01,1.96412e+01,1.97921e+01
117,1.85325e+01,1.81245e+01,1.90731e+01,1.93486e+01,1.96406e+01,1.97915e+01
118,1.85305e+01,1.81224e+01,1.90710e+01,1.93465e+01,1.96385e+01,1.97894e+01
119,1.85272e+01,1.81192e+01,1.90677e+01,1.93432e+01,1.96352e+01,1.97861e+01
120,1.85242e+01,1.81162e+01,1.90647e+01,1.93402e+01,1.96321e+01,1.97830e+01
121,1.85225e+01,1.81145e+01,1.90630e+01,1.93385e+01,1.96304e+01,1.97813e+01
122,1.85221e+01,1.81141e+01,1.90626e+01,1.93381e+01,1.96300e+01,1.97809e+01
123,1.85217e+01,1.81137e+01,1.90622e+01,1.93377e+01,1.96296e+01,1.97805e+01
124,1.85201e+01,1.81121e+01,1.90606e+01,1.93360e+01,1.96280e+01,1.97789e+01
125,1.85171e+01,1.81091e+01,1.90575e+01,1.93330e+01,1.96249e+01,1.97758e+01
126,1.85138e+01,1.81059e+01,1.90542e+01,1.93297e+01,1.96216e+01,1.97725e+01
127,1.85117e+01,1.81038e+01,1.90521e+01,1.93276e+01,1.96195e+01,1.97703e+01
128,1.85110e+01,1.81031e+01,1.90514e+01,1.93269e+01,1.96188e+01,1.97696e+01
129,1.85108e+01,1.81029e+01,1.90512e+01,1.93266e+01,1.96185e+01,1.97694e+01
130,1.85096e+01,1.81017e+01,1.90500e+01,1.93254e+01,1.96173e+01,1.97682e+01
131,1.85069e+01,1.80990e+01,1.90473e+01,1.93227e+01,1.96146e+01,1.97655e+01
132,1.85036e+01,1.80957e+01,1.90439e+01,1.93194e+01,1.96112e+01,1.97621e+01
133,1.85011e+01,1.80932e+01,1.90414e+01,1.93168e+01,1.96086e+01,1.97595e+01
134,1.85000e+01,1.80921e+01,1.90403e+01,1.93157e+01,1.96076e+01,1.97584e+01
135,1.84998e+01,1.80919e+01,1.90401e+01,1.93155e+01,1.96074e+01,1.97582e+01
