# Radius per segment (in mm): 77.0, 83.0, 14.0, 80.0, 67.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,9.78440e+00,9.71370e+00,9.97180e+00,1.92836e+01,1.96594e+01,1.99937e+01
2,9.78105e+00,9.71036e+00,9.96844e+00,1.92797e+01,1.96555e+01,1.99898e+01
3,9.77894e+00,9.70825e+00,9.96633e+00,1.92774e+01,1.96531e+01,1.99874e+01
4,9.77610e+00,9.70541e+00,9.96348e+00,1.92741e+01,1.96499e+01,1.99841e+01
5,9.77116e+00,9.70048e+00,9.95853e+00,1.92685e+01,1.96442e+01,1.99784e+01
6,9.76470e+00,9.69402e+00,9.95205e+00,1.92611e+01,1.96368e+01,1.99710e+01
7,9.75867e+00,9.68799e+00,9.94600e+00,1.92543e+01,1.96300e+01,1.99641e+01
8,9.75464e+00,9.68398e+00,9.94197e+00,1.92498e+01,1.96254e+01,1.99595e+01
9,9.75235e+00,9.68168e+00,9.93967e+00,1.92472e+01,1.96228e+01,1.99569e+01
10,9.74992e+00,9.67926e+00,9.93723e+00,1.92444e+01,1.96200e+01,1.99541e+01
11,9.74561e+00,9.67496e+00,9.93291e+00,1.92395e+01,1.96151e+01,1.99492e+01
12,9.73942e+00,9.66876e+00,9.92670e+00,1.92325e+01,1.96080e+01,1.99421e+01
13,9.73305e+00,9.66240e+00,9.92032e+00,1.92252e+01,1.96007e+01,1.99348e+01
14,9.72840e+00,9.65776e+00,9.91565e+00,1.92200e+01,1.95955e+01,1.99295e+01
15,9.72576e+00,9.65512e+00,9.91301e+00,1.92170e+01,1.95925e+01,1.99265e+01
16,9.72359e+00,9.65296e+00,9.91084e+00,1.92146e+01,1.95900e+01,1.99240e+01
17,9.71992e+00,9.64928e+00,9.90715e+00,1.92104e+01,1.95858e+01,1.99198e+01
18,9.71414e+00,9.64351e+00,9.90135e+00,1.92038e+01,1.95792e+01,1.99131e+01
19,9.70760e+00,9.63698e+00,9.89480e+00,1.91964e+01,1.95717e+01,1.99056e+01
20,9.70234e+00,9.63173e+00,9.88953e+00,1.91904e+01,1.95658e+01,1.98996e+01
21,9.69923e+00,9.62862e+00,9.88641e+00,1.91869e+01,1.95622e+01,1.98961e+01
22,9.69715e+00,9.62654e+00,9.88432e+00,1.91846e+01,1.95599e+01,1.98937e+01
23,9.69405e+00,9.62344e+00,9.88121e+00,1.91810e+01,1.95563e+01,1.98902e+01
24,9.68880e+00,9.61820e+00,9.87595e+00,1.91751e+01,1.95503e+01,1.98841e+01
25,9.68227e+00,9.61167e+00,9.86940e+00,1.91676e+01,1.95429e+01,1.98766e+01
26,9.67649e+00,9.60590e+00,9.86360e+00,1.91611e+01,1.95363e+01,1.98700e+01
27,9.67280e+00,9.60221e+00,9.85991e+00,1.91569e+01,1.95321e+01,1.98658e+01
28,9.67063e+00,9.60005e+00,9.85773e+00,1.91545e+01,1.95297e+01,1.98634e+01
29,9.66801e+00,9.59743e+00,9.85510e+00,1.91515e+01,1.95267e+01,1.98604e+01
30,9.66337e+00,9.59280e+00,9.85046e+00,1.91462e+01,1.95213e+01,1.98550e+01
31,9.65702e+00,9.58645e+00,9.84409e+00,1.91390e+01,1.95141e+01,1.98477e+01
32,9.65082e+00,9.58026e+00,9.83787e+00,1.91320e+01,1.95070e+01,1.98406e+01
33,9.64651e+00,9.57595e+00,9.83355e+00,1.91271e+01,1.95021e+01,1.98357e+01
34,9.64409e+00,9.57353e+00,9.83112e+00,1.91244e+01,1.94994e+01,1.98330e+01
35,9.64181e+00,9.57125e+00,9.82884e+00,1.91218e+01,1.94968e+01,1.98304e+01
36,9.63781e+00,9.56726e+00,9.82482e+00,1.91172e+01,1.94922e+01,1.98258e+01
37,9.63180e+00,9.56125e+00,9.81880e+00,1.91104e+01,1.94853e+01,1.98189e+01
38,9.62534e+00,9.55480e+00,9.81232e+00,1.91030e+01,1.94780e+01,1.98115e+01
39,9.62041e+00,9.54987e+00,9.80738e+00,1.90975e+01,1.94724e+01,1.98058e+01
